 
;캐릭터 번호(NO)
番号,35
 
;이름(NAME), 통칭(CALLNAME)
名前,코마치
呼び名,코마치
 
;기초(BASE)
基礎,체력,2000
基礎,기력,1300
 
;소질(TALENT)
素質,충동적,
素質,감수성,
素質,낙관적,
素質,선을그음,
素質,정조관념없음,
素質,수치심옅음,
素質,젖기쉬움,
素質,도착적,
素質,사교적,
素質,C둔감,
素質,B민감,
素質,거유,
素質,미각,
 
;능력(ABL)
能力,순종,0
能力,욕망,1
能力,기교,0
能力,C감각,0
能力,V감각,1
能力,A감각,0
能力,B감각,1
能力,봉사정신,0
能力,노출버릇,0
能力,레즈끼,2
能力,ＢＬ끼,0
能力,마조끼,1
能力,자위중독,0
能力,정액중독,0
能力,레즈중독,0
能力,고통중독,0
能力,구속중독,0
能力,회화,1
能力,애무,1
能力,도구,0
能力,성교,1
能力,수치,0
能力,봉사,0
能力,가학,0
能力,이상,0
能力,사역,0
 
;경험(EXP)
経験,C경험,50
経験,V경험,50
経験,B경험,50
経験,절정경험,70
経験,성교경험,40
経験,성지식,20
経験,자위경험,35
経験,고통쾌락경험,100
 
;궁합(RELATION)
相性,36,200,   ;시키에이키
 
;장착물(EQUIP)
装着物,악세사리,0,     ;1, 장갑, 2, 소매, 3, 깃옷
装着物,양말,4,           ;1, 삭스, 2, 니삭스, 3, 가터 스타킹, 4, 버선
装着物,하반신속옷,2,     ;1, 드로워즈, 2, 팬티, 3, 트렁크스, 4, 팬티 스타킹, 5, 곤
装着物,상반신속옷,0,     ;1, 브래지어, 2, 캐미숄, 3, 쬐어, 4, T셔츠
装着物,하반신윗도리,0,     ;1, 스커트, 2, 퀼로트, 3, 바지, 4, 하카마
装着物,상반신윗도리,0,     ;1, 윗도리
装着物,전신윗도리,1,       ;1, 일본식 옷, 2, 도사옷, 3, 원피스
 
;캐릭터 정보(CSTR)
CSTR,이명,삼도의 도선인
CSTR,등장명,오노즈카 코마치
CSTR,로마자,Onozuka Komachi
CSTR,곡1,피안 귀항  ～ Riverside View
CSTR,곡2,춤추는 물보라
 
;호칭목록(CSTR)
CSTR,기본경칭,
CSTR,호칭목록,당신_당신/영희_영공주님
 
